x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
180,164,53,63,898,-51.296875,5.64814814815,2447.796875,3251.7962963,9.77662037037,-15967.796875,2871.09259259,47,1243,115,3722,E
110,163,55,63,799,-75.171875,-6.74074074074,1863.421875,2917.81481481,2.56047453704,-17809.953125,-1675.40740741,48,1312,110,3258,E
407,157,44,68,1175,-123.40625,-20.5185185185,3462.09375,4495.92592593,6.80815972222,-40493.28125,-3726.2962963,45,1215,91,2833,E
379,87,53,57,537,-30.75,-11.6481481481,1268.1875,1803.16666667,17.9887152778,-7791.09375,-4811.64814815,47,1232,85,2541,E
321,87,40,58,1141,-57.375,18.962962963,2613.15625,3863.18518519,1.18518518519,-13404.1875,2096.62962963,45,1187,98,3344,E
177,85,51,61,877,12.0625,25.7222222222,2286.3125,2724.27777778,20.5324074074,1108.84375,9626.05555556,50,1376,101,3487,E
102,85,59,61,800,-45.265625,-5.44444444444,1766.984375,2379.44444444,22.9398148148,-11642.234375,-1682.66666667,47,1257,85,2672,E
252,80,48,68,1087,-86.765625,-12.6481481481,3524.390625,4299.87037037,1.32378472222,-34891.921875,-3403.2037037,49,1342,117,3740,E
326,16,45,50,592,-47.234375,-16.4814814815,1787.046875,1773.96296296,-1.22511574074,-15869.328125,-5753.7037037,52,1293,127,4081,E
249,8,65,59,533,-6.703125,8.5,1240.546875,1453.53703704,13.0347222222,-575.390625,3076.05555556,76,1985,108,3400,E
110,5,56,62,832,-62.078125,-1.87037037037,2035.140625,2630.72222222,16.9846643519,-17831.640625,-2876.87037037,56,1472,105,3250,E
396,3,59,63,927,-57.21875,-5.07407407407,3003.84375,3156.48148148,9.21846064815,-19929.125,-1905.96296296,53,1412,118,3817,E
175,0,59,71,895,-49.515625,5.98148148148,2338.640625,3884.57407407,-3.77199074074,-10498.421875,2424.31481481,53,1401,113,3548,E
